41634,41801,167,DECRYPTED
41801,42041,240,ENCRYPTED
42041,42476,435,DECRYPTED
42476,42803,327,ENCRYPTED
42803,43161,358,DECRYPTED
43161,43208,47,DECRYPTED
43208,43373,165,DECRYPTED
43373,43419,46,ENCRYPTED
43419,43592,173,DECRYPTED
43592,43640,48,ENCRYPTED
43640,43786,146,DECRYPTED
43786,44113,327,DECRYPTED
44113,44275,162,DECRYPTED
44275,44357,82,ENCRYPTED
44357,44388,31,ENCRYPTED
44388,44803,415,DECRYPTED
44803,45059,256,ENCRYPTED
45059,45385,326,DECRYPTED
45385,45496,111,DECRYPTED
45496,45935,439,ENCRYPTED
45935,46245,310,DECRYPTED
46245,46291,46,DECRYPTED
46293,46332,39,DECRYPTED
46332,46419,87,DECRYPTED
46419,46455,36,ENCRYPTED
46455,46546,91,ENCRYPTED
46546,46658,112,ENCRYPTED
46658,47011,353,ENCRYPTED
47011,47163,152,ENCRYPTED
47163,47347,184,ENCRYPTED
47347,47521,174,DECRYPTED
47521,47712,191,DECRYPTED
47712,47760,48,ENCRYPTED
47760,48162,402,ENCRYPTED
48162,48363,201,ENCRYPTED
48363,48924,561,ENCRYPTED
48924,49136,212,ENCRYPTED
49136,49719,583,ENCRYPTED
49735,49799,64,DECRYPTED
49799,50117,318,ENCRYPTED
50117,50405,288,ENCRYPTED
50405,50740,335,ENCRYPTED
50740,50839,99,DECRYPTED
50839,51093,254,DECRYPTED
51093,51315,222,DECRYPTED
51315,51695,380,ENCRYPTED
51695,52013,318,DECRYPTED
52013,52562,549,ENCRYPTED
52562,53017,455,ENCRYPTED
53017,53322,305,DECRYPTED
53322,53435,113,DECRYPTED
53435,53942,507,ENCRYPTED
53942,54134,192,DECRYPTED
54134,54226,92,DECRYPTED
54226,54437,211,ENCRYPTED
54437,54611,174,DECRYPTED
54611,54723,112,DECRYPTED
54723,55098,375,DECRYPTED
55098,55280,182,DECRYPTED
55280,55341,61,ENCRYPTED
55343,55519,176,DECRYPTED
55519,55741,222,DECRYPTED
